station_id,airport_id,state,city,IATA_CODE,longitude,latitude,elevation
USW00093730,10158,NJ,Atlantic City,ACY,-74.5669,39.4519,17.7
USW00093736,10990,VA,Charlottesville,CHO,-78.455,38.1375,192.3
USW00093740,11641,NC,Fayetteville,FAY,-78.88,34.9894,56.7
USW00093741,14098,VA,Newport News/Williamsburg,PHF,-76.4939,37.1322,11.0
USW00093812,11193,OH,Cincinnati,CVG,-84.4161,39.1061,144.8
USW00093817,11612,IN,Evansville,EVV,-87.5147,38.0503,122.5
USW00093820,12945,KY,Lexington,LEX,-84.6114,38.0339,293.2
USW00093821,14730,KY,Louisville,SDF,-85.7308,38.1775,146.3
USW00093836,10731,GA,Brunswick,BQK,-81.4667,31.25,9.1
USW00093842,11150,GA,Columbus,CSG,-84.9422,32.5164,120.1
USW00093845,15607,GA,Valdosta,VLD,-83.2739,30.7764,58.8
USW00093915,10185,LA,Alexandria,AEX,-92.5586,31.3347,25.0
USW00094023,11865,WY,Gillette,GCC,-105.5417,44.3397,1330.1
USW00094025,12094,CO,Hayden,HDN,-107.2175,40.4811,2011.7
USW00094030,15582,UT,Vernal,VEL,-109.5128,40.4431,1605.1
USW00094129,14303,WA,Pullman,PUW,-117.1158,46.7439,775.7
USW00094178,15389,ID,Twin Falls,TWF,-114.4775,42.4786,1269.8
USW00094239,11470,WA,Wenatchee,EAT,-120.2011,47.3975,377.3
USW00094720,12250,MA,Hyannis,HYA,-70.2697,41.6719,11.3
USW00094790,10361,NY,Watertown,ART,-76.0261,43.9886,94.8
USW00094815,10469,MI,Kalamazoo,AZO,-85.5461,42.2283,263.3
USW00094849,10333,MI,Alpena,APN,-83.5644,45.0717,208.2
USW00094853,11587,MI,Escanaba,ESC,-87.0833,45.7333,181.1
USW00094893,12335,MI,Iron Mountain/Kingsfd,IMT,-88.1131,45.8133,343.2
USW00094908,11274,IA,Dubuque,DBQ,-90.7092,42.3983,317.0
USW00094910,10268,IA,Waterloo,ALO,-92.4014,42.5544,264.3
USW00094931,12129,MN,Hibbing,HIB,-92.8325,47.3803,408.1
USW00094938,10739,MN,Brainerd,BRD,-94.1272,46.4019,372.5
USW00094960,13487,MN,Minneapolis,MSP,-93.3511,45.0622,263.3
USW00094963,13487,MN,Minneapolis,MSP,-93.4706,44.8322,275.8
