type,elevation_ft,iata_code
small_airport,1020,NA
small_airport,620,NA
small_airport,465,NA
heliport,729,NA
balloonport,37,NA
small_airport,1420,NA
small_airport,853,NA
small_airport,20,NA
small_airport,20,NA
heliport,275,NA
heliport,141,NA
small_airport,240,NA
small_airport,820,NA
small_airport,2931,NA
small_airport,20,NA
small_airport,1566,NA
small_airport,3985,NA
small_airport,485,NA
small_airport,276,NA
heliport,38,NA
heliport,709,NA
small_airport,940,NA
small_airport,4273,NA
heliport,612,NA
heliport,230,NA
heliport,148,NA
heliport,419,NA
small_airport,2323,NA
small_airport,250,NA
heliport,510,NA
heliport,72,NA
small_airport,750,NA
small_airport,1050,NA
small_airport,771,NA
small_airport,1235,NA
small_airport,1060,NA
small_airport,2313,NA
heliport,1435,NA
small_airport,603,NA
small_airport,4400,NA
small_airport,2950,NA
small_airport,253,NA
small_airport,350,NA
heliport,225,NA
heliport,227,NA
small_airport,1213,NA
heliport,6266,NA
small_airport,40,NA
heliport,7500,NA
heliport,1017,NA
small_airport,25,NA
heliport,110,NA
small_airport,350,NA
small_airport,280,NA
small_airport,760,NA
small_airport,6400,NA
heliport,845,NA
heliport,865,NA
small_airport,814,NA
heliport,70,NA
small_airport,1325,NA
small_airport,407,NA
heliport,10,NA
heliport,640,NA
balloonport,980,NA
small_airport,1179,NA
heliport,748,NA
small_airport,1260,NA
small_airport,180,NA
small_airport,2873,NA
small_airport,27,NA
small_airport,2777,NA
heliport,705,NA
heliport,117,NA
heliport,1100,NA
small_airport,7378,NA
small_airport,646,NA
heliport,190,NA
heliport,926,NA
heliport,705,NA
small_airport,1680,NA
small_airport,1703,NA
small_airport,550,NA
heliport,488,NA
small_airport,7681,NA
seaplane_base,2362,NA
small_airport,240,NA
heliport,930,NA
small_airport,830,NA
heliport,395,NA
heliport,1430,NA
small_airport,145,NA
small_airport,920,NA
small_airport,1010,NA
heliport,532,NA
small_airport,1145,NA
seaplane_base,NA,WLR
small_airport,300,NA
heliport,270,NA
heliport,120,NA
small_airport,4025,NA
heliport,94,NA
heliport,730,NA
small_airport,6000,NA
heliport,124,NA
heliport,1120,NA
heliport,1940,NA
small_airport,1235,NA
small_airport,2920,NA
heliport,454,NA
small_airport,940,NA
small_airport,985,NA
heliport,1012,NA
heliport,688,NA
heliport,50,NA
closed,340,NA
heliport,1224,NA
small_airport,400,NA
small_airport,899,NA
small_airport,60,NA
small_airport,2810,NA
heliport,481,NA
heliport,22,NA
small_airport,243,NA
heliport,222,NA
small_airport,930,NA
small_airport,1050,NA
small_airport,927,NA
small_airport,350,NA
heliport,11,NA
small_airport,630,NA
small_airport,14,NA
heliport,950,NA
small_airport,1793,NA
heliport,300,NA
small_airport,532,NA
small_airport,2688,NA
small_airport,1150,NA
heliport,4594,NA
small_airport,790,NA
small_airport,590,NA
small_airport,240,NA
heliport,1071,NA
small_airport,1365,NA
heliport,4792,NA
small_airport,686,NA
small_airport,430,NA
small_airport,60,NA
small_airport,2250,NA
heliport,220,NA
small_airport,220,NA
heliport,84,NA
heliport,5374,NA
heliport,37,NA
small_airport,125,NA
small_airport,1210,NA
small_airport,328,NA
small_airport,625,NA
small_airport,2000,NA
heliport,670,NA
small_airport,836,NA
small_airport,464,NA
small_airport,1200,NA
heliport,884,NA
small_airport,910,NA
small_airport,807,NA
heliport,7,NA
small_airport,10,NA
small_airport,150,NA
heliport,638,NA
small_airport,1185,NA
small_airport,999,NA
small_airport,2701,NA
small_airport,53,NA
small_airport,49,NA
small_airport,1990,NA
heliport,235,NA
heliport,7,NA
heliport,331,NA
heliport,NA,NA
heliport,940,NA
heliport,599,NA
heliport,32,NA
heliport,280,NA
heliport,500,NA
heliport,1720,NA
small_airport,1125,NA
heliport,5,NA
heliport,1283,NA
heliport,629,NA
small_airport,547,NA
small_airport,450,NA
small_airport,826,NA
small_airport,156,NA
small_airport,978,NA
small_airport,36,NA
small_airport,12,NUP
small_airport,320,NA
heliport,365,NA
small_airport,730,NA
small_airport,4366,NA
heliport,24,NA
heliport,1560,NA
small_airport,5331,NA
heliport,356,NA
